,run,wafer,site,value
902,1,3,site6,435.18
903,1,4,site6,407.55
904,1,5,site6,431.47
905,1,6,site6,426.76
906,2,1,site6,472.09
907,2,2,site6,459.14
908,2,3,site6,466.33
909,2,4,site6,466.39
910,2,5,site6,449.53
911,2,6,site6,466.31
912,3,1,site6,441.0
913,3,2,site6,440.85
914,3,3,site6,450.34
915,3,4,site6,402.19
916,3,5,site6,418.39
917,3,6,site6,430.66
918,4,1,site6,410.25
919,4,2,site6,465.31
920,4,3,site6,458.58
921,4,4,site6,458.22
922,4,5,site6,467.13
923,4,6,site6,447.16
924,5,1,site6,458.66
925,5,2,site6,454.16
926,5,3,site6,459.74
927,5,4,site6,463.93
928,5,5,site6,424.25
929,5,6,site6,459.22
930,6,1,site6,444.59
931,6,2,site6,439.84
932,6,3,site6,444.84
933,6,4,site6,397.35
934,6,5,site6,428.41
935,6,6,site6,428.66
936,7,1,site6,419.09
937,7,2,site6,460.7
938,7,3,site6,426.24
939,7,4,site6,454.64
940,7,5,site6,460.83
941,7,6,site6,407.91
942,8,1,site6,463.8
943,8,2,site6,451.09
944,8,3,site6,458.46
945,8,4,site6,462.84
946,8,5,site6,424.06
947,8,6,site6,457.71
948,9,1,site6,446.09
949,9,2,site6,439.15
950,9,3,site6,444.68
951,9,4,site6,368.74
952,9,5,site6,415.1
953,9,6,site6,444.88
954,10,1,site6,423.89
955,10,2,site6,462.06
956,10,3,site6,434.81
957,10,4,site6,455.38
958,10,5,site6,441.41
959,10,6,site6,432.84
960,11,1,site6,460.05
961,11,2,site6,452.19
962,11,3,site6,454.44
963,11,4,site6,458.06
964,11,5,site6,434.1
965,11,6,site6,455.24
966,12,1,site6,448.51
967,12,2,site6,441.64
968,12,3,site6,447.96
969,12,4,site6,409.75
970,12,5,site6,432.81
971,12,6,site6,441.26
972,13,1,site6,434.43
973,13,2,site6,451.46
974,13,3,site6,440.45
975,13,4,site6,442.09
976,13,5,site6,447.36
977,13,6,site6,432.49
978,14,1,site6,451.72
979,14,2,site6,439.9
980,14,3,site6,445.6
981,14,4,site6,449.7
982,14,5,site6,431.79
983,14,6,site6,443.56
984,15,1,site6,444.79
985,15,2,site6,441.08
986,15,3,site6,443.84
987,15,4,site6,404.01
988,15,5,site6,435.85
