run,wafer,pattern,site1,site2,site3,site4,site5,site6,site7,site8,site9,sitemn
28,4,I,423.16,416.38,415.15,407.58,417.30,437.70,406.54,408.38,528.38,428.95
28,5,I,433.15,421.46,425.25,422.78,429.10,443.26,412.84,408.64,528.64,436.12
28,6,I,438.31,426.90,428.28,428.06,436.93,425.90,415.24,408.51,528.51,437.40
29,1,II,434.72,423.00,421.96,423.76,434.74,449.66,412.68,418.72,538.72,439.77
29,2,II,443.90,430.66,431.71,430.70,442.64,430.28,413.59,419.13,539.13,442.42
29,3,II,422.05,416.04,410.10,405.71,417.79,435.72,403.34,409.39,529.39,427.73
29,4,II,431.72,423.99,422.04,415.75,428.21,444.94,407.84,411.80,531.80,435.34
29,5,II,438.71,421.09,422.47,428.28,439.65,419.00,406.59,406.74,526.74,434.36
29,6,II,428.34,418.65,420.72,415.59,420.39,439.59,419.21,409.83,529.83,433.57
30,1,III,432.79,422.43,421.89,420.68,431.08,442.59,411.45,412.31,532.31,436.39
30,2,III,427.50,417.59,419.40,414.36,420.97,439.04,414.16,408.53,528.53,432.23
30,3,III,432.65,419.00,409.18,420.43,440.40,407.96,393.33,409.90,529.90,429.19
30,4,III,436.56,426.35,426.63,422.84,433.84,444.51,414.40,416.46,536.46,439.78
30,5,III,427.38,419.89,417.44,412.45,423.78,439.47,412.10,417.39,537.39,434.14
30,6,III,455.79,435.38,440.91,447.61,456.41,441.31,429.44,423.61,543.61,452.67
